"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$17,177,047,451","0.00%","3.44","5.88","1.07"
"CZR","Caesars Entertainment Corp","Common stocks","Large cap","Consumer Discretionary","$17,042,085,465","0.00%","-16.98","1.80","3.86"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$16,961,917,899","0.30%","83.13","16.47","10.28"
"IP","International Paper","Common stocks","Large cap","Materials","$16,925,108,597","4.16%","9.67","0.87","1.87"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Energy","$16,858,752,310","0.95%","17.83","3.01","1.58"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$16,838,259,000","1.05%","48.03","6.95","15.57"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$16,837,566,649","0.54%","16.60","1.78","2.55"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$16,801,771,675","0.00%","14.06","0.57","3.31"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$16,660,276,428","3.18%","18.53","1.94","6.71"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$16,659,688,759","0.00%","13.65","1.86","5.62"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$16,639,241,129","0.28%","262.18","1.03","1.43"
"SEDG","SolarEdge Technologies Inc","Common stocks","Large cap","Information Technology","$16,616,748,863","0.00%","97.57","8.46","12.60"
"DISH","Dish Network Corp Class A","Common stocks","Large cap","Communication Services","$16,537,219,668","0.00%","3.82","0.92","0.59"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$16,455,527,802","0.00%","17.55","5.51","4.41"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$16,320,781,225","1.51%","22.13","3.23","5.37"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$16,319,861,208","3.42%","66.57","2.31","52.53"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$16,277,236,373","0.39%","33.81","5.79","4.37"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$16,252,826,169","0.11%","21.79","1.30","2.39"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$16,144,678,495","0.77%","40.88","9.92","15.10"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$15,849,290,346","1.29%","37.11","3.05","4.92"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$15,845,141,008","3.38%","28.60","0.09","15.84"
"L","Loews Corp","Common stocks","Large cap","Financials","$15,835,315,863","0.39%","9.95","1.36","0.82"
"AES","AES Corp","Common stocks","Large cap","Utilities","$15,623,720,274","2.58%","-38.66","1.40","5.65"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$15,538,648,069","0.00%","34.77","4.13","6.73"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$15,502,932,748","2.27%","21.90","4.47","1.84"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$15,401,732,596","1.90%","8.17","1.80","3.68"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$15,379,109,256","3.73%","13.82","1.37","1.75"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$15,289,158,187","0.00%","7.74","0.81","1.28"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$15,260,724,059","2.65%","22.90","4.16","2.52"
"NLOK","NortonLifeLock Inc.","Common stocks","Large cap","Information Technology","$15,087,663,691","1.91%","22.56","0.00","-162.98"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$15,069,426,710","1.09%","33.70","5.45","5.40"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$14,926,996,291","0.17%","59.63","3.00","4.35"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$14,904,675,500","3.36%","16.88","2.67","1.61"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$14,843,257,095","2.53%","17.81","1.92","4.12"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$14,755,375,901","0.95%","29.34","3.39","-3.56"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$14,727,251,177","2.90%","18.12","10.79","1.50"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$14,352,968,616","4.90%","31.82","3.20","16.73"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$14,351,961,343","2.99%","14.90","1.40","4.03"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$14,221,919,440","0.00%","37.03","4.02","5.71"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$14,178,201,148","1.36%","24.84","0.00","3.35"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$14,107,472,190","1.58%","19.07","1.68","7.33"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$14,054,038,695","2.95%","24.09","1.78","1.68"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$14,029,355,345","3.99%","7.30","1.62","1.21"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$14,003,058,930","0.00%","62.40","13.96","9.67"
"QRVO","Qorvo, Inc.","Common stocks","Large cap","Information Technology","$13,967,077,874","0.00%","12.67","3.07","3.04"
"EMN","Eastman Chemical","Common stocks","Large cap","Materials","$13,836,963,631","2.68%","16.24","1.32","2.40"
"APA","Apache Corp","Common stocks","Large cap","Energy","$13,673,392,624","0.60%","13.05","1.71","-8.50"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$13,659,001,811","1.72%","33.59","1.63","-76.94"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$13,521,295,797","2.02%","16.15","0.59","6.74"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$13,454,587,809","0.17%","96.39","0.00","2.11"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$13,446,022,671","0.00%","-7.00","0.55","2.73"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$13,418,012,330","1.01%","39.04","7.19","10.62"
"MKTX","Marketaxess Holdings Inc","Common stocks","Large cap","Financials","$13,406,601,305","0.75%","51.91","19.18","12.86"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$13,295,909,491","1.07%","12.21","1.02","2.31"
"NWS","News Corp Class B","Common stocks","Large cap","Communication Services","$13,278,884,502","0.88%","8.98","1.32","0.53"
"NWSA","News Corp Class A","Common stocks","Large cap","Communication Services","$13,278,884,502","0.89%","17.45","1.32","1.03"
